code_postal,Commune,Code Département,Département,Code Région,Région
59287,GUESNAIN,59,NORD,31,NORD-PAS-DE-CALAIS
88210,DENIPAIRE,88,VOSGES,41,LORRAINE
57170,PETTONCOURT,57,MOSELLE,41,LORRAINE
54630,RICHARDMENIL,54,MEURTHE-ET-MOSELLE,41,LORRAINE
35190,BECHEREL,35,ILLE-ET-VILAINE,53,BRETAGNE
21310,NOIRON-SUR-BEZE,21,COTE-D'OR,26,BOURGOGNE
33350,CASTILLON-LA-BATAILLE,33,GIRONDE,72,AQUITAINE
25640,BRECONCHAUX,25,DOUBS,43,FRANCHE-COMTE
47180,JUSIX,47,LOT-ET-GARONNE,72,AQUITAINE
39140,BLETTERANS,39,JURA,43,FRANCHE-COMTE
51140,VENTELAY,51,MARNE,21,CHAMPAGNE-ARDENNE
25380,BATTENANS-VARIN,25,DOUBS,43,FRANCHE-COMTE
14190,SOIGNOLLES,14,CALVADOS,25,BASSE-NORMANDIE
21190,MELOISEY,21,COTE-D'OR,26,BOURGOGNE
61120,TICHEVILLE,61,ORNE,25,BASSE-NORMANDIE
63550,SAINT-VICTOR-MONTVIANEIX,63,PUY-DE-DOME,83,AUVERGNE
31220,COULADERE,31,HAUTE-GARONNE,73,MIDI-PYRENEES
26150,BARSAC,26,DROME,82,RHONE-ALPES
27150,SAINTE-MARIE-DE-VATIMESNIL,27,EURE,23,HAUTE-NORMANDIE
42940,SAINT-BONNET-LE-COURREAU,42,LOIRE,82,RHONE-ALPES
73570,BRIDES-LES-BAINS,73,SAVOIE,82,RHONE-ALPES
69660,COLLONGES-AU-MONT-D'OR,69,RHONE,82,RHONE-ALPES
46330,BOUZIES,46,LOT,73,MIDI-PYRENEES
61360,VIDAI,61,ORNE,25,BASSE-NORMANDIE
20116,ZERUBIA,2A,CORSE-DU-SUD,94,CORSE
68290,SICKERT,68,HAUT-RHIN,42,ALSACE
42660,LE BESSAT,42,LOIRE,82,RHONE-ALPES
27850,MENESQUEVILLE,27,EURE,23,HAUTE-NORMANDIE
74270,CHILLY,74,HAUTE-SAVOIE,82,RHONE-ALPES
54450,AMENONCOURT,54,MEURTHE-ET-MOSELLE,41,LORRAINE
76680,POMMEREVAL,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
41800,LES ROCHES-L'EVEQUE,41,LOIR-ET-CHER,24,CENTRE
71390,SAINT-DESERT,71,SAONE-ET-LOIRE,26,BOURGOGNE
58440,MYENNES,58,NIEVRE,26,BOURGOGNE
10160,NOGENT-EN-OTHE,10,AUBE,21,CHAMPAGNE-ARDENNE
28130,BOUGLAINVAL,28,EURE-ET-LOIR,24,CENTRE
31430,LE FOUSSERET,31,HAUTE-GARONNE,73,MIDI-PYRENEES
51130,SOULIERES,51,MARNE,21,CHAMPAGNE-ARDENNE
57070,VANTOUX,57,MOSELLE,41,LORRAINE
65350,CASTELVIEILH,65,HAUTES-PYRENEES,73,MIDI-PYRENEES
18400,SAINT-CAPRAIS,18,CHER,24,CENTRE
72400,LA CHAPELLE-DU-BOIS,72,SARTHE,52,PAYS DE LA LOIRE
14113,VILLERVILLE,14,CALVADOS,25,BASSE-NORMANDIE
17220,CLAVETTE,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
41230,MUR-DE-SOLOGNE,41,LOIR-ET-CHER,24,CENTRE
79150,VOULTEGON,79,DEUX-SEVRES,54,POITOU-CHARENTES
76590,SAINT-HONORE,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
28120,OLLE,28,EURE-ET-LOIR,24,CENTRE
14430,CRESSEVEUILLE,14,CALVADOS,25,BASSE-NORMANDIE
22350,YVIGNAC-LA-TOUR,22,COTES-D'ARMOR,53,BRETAGNE
62870,DOURIEZ,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
15130,YOLET,15,CANTAL,83,AUVERGNE
73410,SAINT-GERMAIN-LA-CHAMBOTTE,73,SAVOIE,82,RHONE-ALPES
27380,DOUVILLE-SUR-ANDELLE,27,EURE,23,HAUTE-NORMANDIE
25720,BEURE,25,DOUBS,43,FRANCHE-COMTE
11420,CAHUZAC,11,AUDE,91,LANGUEDOC-ROUSSILLON
65100,GAZOST,65,HAUTES-PYRENEES,73,MIDI-PYRENEES
21460,EPOISSES,21,COTE-D'OR,26,BOURGOGNE
05560,VARS,05,HAUTES-ALPES,93,PROVENCE-ALPES-COTE D'AZUR
64330,GARLIN,64,PYRENEES-ATLANTIQUES,72,AQUITAINE
42460,COUTOUVRE,42,LOIRE,82,RHONE-ALPES
15340,MOURJOU,15,CANTAL,83,AUVERGNE
39270,ORGELET,39,JURA,43,FRANCHE-COMTE
52110,BOUZANCOURT,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
01470,SEILLONNAZ,01,AIN,82,RHONE-ALPES
33160,SAINT-AUBIN-DE-MEDOC,33,GIRONDE,72,AQUITAINE
06470,SAINT-MARTIN-D'ENTRAUNES,06,ALPES-MARITIMES,93,PROVENCE-ALPES-COTE D'AZUR
21310,OISILLY,21,COTE-D'OR,26,BOURGOGNE
67120,SOULTZ-LES-BAINS,67,BAS-RHIN,42,ALSACE
91370,VERRIERES-LE-BUISSON,91,ESSONNE,11,ILE-DE-FRANCE
76440,POMMEREUX,76,SEINE-MARITIME,23,HAUTE-NORMANDIE
35210,PRINCE,35,ILLE-ET-VILAINE,53,BRETAGNE
33650,SAINT-SELVE,33,GIRONDE,72,AQUITAINE
77126,COURCELLES-EN-BASSEE,77,SEINE-ET-MARNE,11,ILE-DE-FRANCE
62500,SAINT-OMER,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
08260,ESTREBAY,08,ARDENNES,21,CHAMPAGNE-ARDENNE
21190,TAILLY,21,COTE-D'OR,26,BOURGOGNE
14330,SAONNET,14,CALVADOS,25,BASSE-NORMANDIE
62170,CAMPIGNEULLES-LES-PETITES,62,PAS-DE-CALAIS,31,NORD-PAS-DE-CALAIS
39250,FRAROZ,39,JURA,43,FRANCHE-COMTE
16330,VOUHARTE,16,CHARENTE,54,POITOU-CHARENTES
60128,PLAILLY,60,OISE,22,PICARDIE
88500,VAUBEXY,88,VOSGES,41,LORRAINE
38090,VILLEFONTAINE,38,ISERE,82,RHONE-ALPES
46800,LEBREIL,46,LOT,73,MIDI-PYRENEES
18140,SAINT-MARTIN-DES-CHAMPS,18,CHER,24,CENTRE
58290,ISENAY,58,NIEVRE,26,BOURGOGNE
50200,GRATOT,50,MANCHE,25,BASSE-NORMANDIE
46300,SAINT-PROJET,46,LOT,73,MIDI-PYRENEES
60400,MONDESCOURT,60,OISE,22,PICARDIE
24560,COLOMBIER,24,DORDOGNE,72,AQUITAINE
60400,LARBROYE,60,OISE,22,PICARDIE
86530,AVAILLES-EN-CHATELLERAULT,86,VIENNE,54,POITOU-CHARENTES
34400,SATURARGUES,34,HERAULT,91,LANGUEDOC-ROUSSILLON
52700,DARMANNES,52,HAUTE-MARNE,21,CHAMPAGNE-ARDENNE
04200,VAUMEILH,04,ALPES-DE-HAUTE-PROVENCE,93,PROVENCE-ALPES-COTE D'AZUR
17130,ROUFFIGNAC,17,CHARENTE-MARITIME,54,POITOU-CHARENTES
50720,BARENTON,50,MANCHE,25,BASSE-NORMANDIE
60660,SAINT-VAAST-LES-MELLO,60,OISE,22,PICARDIE
